track_name,artist,album,year
Deep Sea Creature,Mastodon,Call of the Mastodon,2001
bI Didnt Mean To,Casual,Fear Itself,2005
Soul Deep,The Box Tops,Dimensions,1969
Amor De Cabaret,Sonora Santanera,Las Numero 1 De La Sonora Santanera,2009
Something Girls,Adam Ant,Friend Or Foe,1982
Face the Ashes,Go,Muertos Vivos,2007
The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,Ordinary Day,1959
Keepin It Real (Skit),Rated R,Da Ghetto Psychic,1993
Drop of Rain,Tweeterfriendly Music,Gin & Phonic,1953
Pink World,Planet P Project,Pink World,1984
Insatiable (Instrumental Version),Clp,Superinstrumental,1999
Young Boy Blues,JennyAnyKind,I Need You,1975
The Urgency (LP Version),Wayne Watson,The Way Home,1939
La Culpa,Andy Andy,Placer & Castigo,1988
Auguri Cha Cha,Bob Azzam,Arrivederci,1991
Tonight Will Be Alright,Lionel Richie,Dancing On The Ceiling,1986
Floating,Blue Rodeo,Outskirts,1987
High Tide,Richard Souther,Cross Currents,1965
Sohna Nee Sohna Data,Faiz Ali Faiz,Panjtan Ka Ghulam,2005
Caught In A Dream,Tesla,Gold,2004
Synthetic Dream,lextrical,Whatever Happened To Boredom?,1931
Broken-Down Merry-Go-Round,Jimmy Wakely,1942-1952 Jimmy Wakely,1942
Kassie Jones,Alice Stuart,All The Good Times,1993
Setanta matins,Elena,Un cafe_ setanta matins,2001
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,Miss Machine,2004
James (Hold The Ladder Steady),SUE THOMPSON,Sue Thompson - Her Very Best,1985
Made Like This (Live),Five Bolt Main,Live,1995
Superconfidential,Clp,Strictly Confidential,1932
I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,The Real Twang Thang,2005
Spanish Grease,Willie Bobo,bWillie Bobos Finest Hour,1997
Crazy Mixed Up World,Faye Adams,Shake A Hand,1961
Do You Finally Need A Friend,Terry Callier,Occasional Rain,1972
The Emperor Falls,John Wesley,The Emperor Falls,2001
Twist and Shout,The Shangri-Las,Best of The Shangri-Las,1964
It Makes No Difference Now,Billie Jo Spears,20 Of Her Best,1992
Laws Patrolling (Album Version),bMike Jones (Featuring CJ_ Mello & Lil Bran),Who Is Mike Jones?,1976
